Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,FII_Z_Score,Nifty_T+1,Nifty_T+3,Nifty_T+5,Return_1D,Return_3D,Return_5D,Equity_Curve,Target,AI_Prediction,AI_Return,AI_Equity_Curve,Month,Open,High,Low,Vol.,Change %
2026-02-13,14586.73,21982.14,-7395.41,20605.87,15051.91,5553.96,25471.1,-1.2399383324145676,25682.75,25819.35,25571.25,0.8309417339651662,1.36723580842602,0.393190714181961,0.393190714181961,1,1,0.393190714181961,0.393190714181961,February,"25,571.15","25,630.35","25,444.30",453.52M,-1.30%
2026-02-27,36699.66,44236.02,-7536.36,24867.72,12574.91,12292.81,25178.65,-1.2783339531289448,24865.7,24765.9,24028.05,-1.2429181072059095,-1.6392856646404792,-4.569744605052304,-4.176553890870343,0,0,0.0,0.393190714181961,February,"25,459.85","25,476.40","25,141.30",438.92M,-1.25%
2026-03-04,19120.99,27873.64,-8752.65,26259.37,14191.2,12068.17,24480.5,-1.6096586038468554,24765.9,24028.05,23866.85,1.1658258613998957,-1.8482057147525612,-2.506688997365256,-6.683242888235599,0,0,0.0,0.393190714181961,March,"24,388.80","24,602.45","24,305.40",598.99M,-1.55%
2026-03-12,15373.05,22422.92,-7049.87,19439.56,11989.79,7449.77,23639.15,-1.1458111753968607,23151.1,23581.15,23002.15,-2.064583540440341,-0.24535569172326413,-2.694682338408953,-9.377925226644551,0,0,0.0,0.393190714181961,March,"23,674.85","23,833.15","23,556.30",501.00M,-0.95%
2026-03-13,11923.16,22639.8,-10716.64,22707.84,12730.42,9977.42,23151.1,-2.1446611943174423,23408.8,23777.8,23114.5,1.113122054675591,2.7069988035125796,-0.15809184012854052,-9.536017066773091,0,0,0.0,0.393190714181961,March,"23,462.50","23,492.40","23,112.00",519.78M,-2.06%
2026-03-16,11566.51,20932.03,-9365.52,25150.41,12557.05,12593.36,23408.8,-1.7766080473886805,23581.15,23002.15,22512.65,0.736261576842906,-1.7371672191654328,-3.8282611667407034,-13.364278233513794,0,0,0.0,0.393190714181961,March,"23,116.10","23,500.50","22,957.90",540.29M,1.11%
2026-03-19,10012.07,17570.26,-7558.19,16926.98,13063.02,3863.96,23002.15,-1.2842805753367834,23114.5,22912.4,22819.6,0.48843260303927477,-0.39018091787072073,-0.793621465819512,-14.157899699333306,0,0,0.0,0.393190714181961,March,"23,197.75","23,365.15","22,932.85",550.15M,-3.26%
